,countyfp,county_name,state,pct_mask,pop_2019,ru_continuum,density,pct_female,pct_trump_2020,dem_governor,state_mandate,county_mandate,vote_dem,pct_anycollege,log_pct_poverty,log_pct_seniors,log_pct_minority,log_density,log_case_rate_july,log_death_rate_july,log_death_rate_december,log_case_rate_december
1,1001,Autauga County,AL,75.075,55869,2,91.8,51.50799191,71.50765223,0,0,0,0,56.1,2.624668592,2.770904798,3.209000667,4.519612298,7.065357609,3.358410657,4.333044586,8.570214307
2,1003,Baldwin County,AL,74.2,223234,3,114.6,51.50962667,76.23571527,0,0,1,0,62.6,2.282382386,3.043473661,2.730607005,4.741447804,6.186038182,1.779613471,4.140250256,8.356336903
3,1005,Barbour County,AL,73.2,24686,6,31,47.07931621,53.60045902,0,0,0,0,37.3,3.430756184,2.980178083,3.987374403,3.433987204,7.343691623,2.208467591,4.774706122,8.50328082
4,1007,Bibb County,AL,83.7,22394,1,36.8,46.7312673,78.42891466,0,0,0,0,35.9,3.08190997,2.81358932,3.207829958,3.605497845,6.832587107,2.040989489,5.139839141,8.643325615
5,1009,Blount County,AL,72.3,57826,1,88.9,50.76263273,89.56990422,0,0,0,0,46.1,2.58021683,2.928573275,2.509936916,4.487512143,6.233276391,1.004054659,4.388865593,8.628457607
6,1011,Bullock County,AL,79.65,10101,6,17.5,45.47074547,24.83163154,0,0,0,1,35.6,3.749504076,2.829613752,4.380193454,2.862200881,8.22504884,4.653485037,5.29330582,8.859350244
7,1013,Butler County,AL,69.55,19448,6,27,53.59934183,57.55334883,0,0,0,0,40.7,3.198673118,3.035895886,3.877284212,3.295836866,8.09214402,5.011405599,5.379715356,8.736788274
8,1015,Calhoun County,AL,65.925,113605,3,195.7,52.043484,68.90408529,0,0,0,0,51.7,2.970414466,2.895157611,3.288725686,5.276582874,5.958389892,1.764959574,4.717700439,8.717519324
9,1017,Chambers County,AL,74.625,33254,6,57.4,52.20123895,57.29255354,0,0,0,0,42.9,2.928523524,3.005338955,3.790134302,4.050044303,7.596007689,4.496594869,5.096118436,8.646032033
10,1019,Cherokee County,AL,72.575,26196,6,46.9,50.65658879,86.04480652,0,0,0,0,41.9,2.791165108,3.158289376,1.930677914,3.848017675,6.05145088,3.322213223,4.52847315,8.326371996
11,1021,Chilton County,AL,81,44428,1,63,50.93184478,83.34371755,0,0,0,0,38.2,2.850706502,2.839448532,2.974508361,4.143134726,6.496390068,2.183566713,4.627787245,8.575360289
12,1023,Choctaw County,AL,80.475,12589,9,15.2,52.83183732,57.55260689,0,0,0,0,43.2,3.095577609,3.160571965,3.76502228,2.721295428,7.410489906,4.567689605,5.074353815,8.150277709
13,1025,Clarke County,AL,73.5,23622,7,20.9,52.7855389,55.7930087,0,0,1,0,37.5,3.126760536,3.020526068,3.857207614,3.039749159,7.145894526,3.273365934,4.544714196,8.854086388
